country,investment,investment_qoq,gdp,gdp_qoq,capacityprod_kg,capacityprod_ind,capacityutil_ind,capacityutil_kg,production_kg,turnover_kg,imports_xea_kg,imports_ea_kg,imports_kg,exports_xea_kg,exports_ea_kg,exports_kg,confidence_kg,orders_kg,exportorders_kg,expectedprod_kg,confidence_ind,orders_ind,exportorders_ind,expectedprod_ind,eei,timestamp,interest_rate
FR,18048.0,,418050.7,,21.668528,18.13447,82.492378,81.979535,85.66666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,-3.8477200000000003,-11.420557,-13.683621,2.064705,1.5727336666666665,-3.6040419999999997,-1.372234,10.935279333333334,101.620544,1995-01-01,8.086666666666666
FR,17855.5,-1.07232913,420791.8,0.653545751,39.513075,20.157817,82.788154,82.829282,85.10000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,-8.059916666666666,-11.106361,-13.254992666666666,-7.762353000000001,-0.9815726666666668,-3.1412560000000003,-7.2960623333333325,4.755047,101.34600533333334,1995-04-01,7.593333333333331
FR,18004.1,0.828792572,421449.4,0.156154824,22.77542,12.894205,83.569281,82.610588,85.63333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-21.022201666666668,-27.453094000000004,-23.887363333333337,-20.173081666666665,-7.992679333333334,-13.830134333333334,-17.074389333333333,-0.884233,98.72943433333334,1995-07-01,7.376666666666669
FR,18017.0,0.07162469,421282.9,-0.039514328,20.546808,14.616051,83.337138,83.565687,86.23333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-19.715460666666665,-33.373489666666664,-23.673480333333334,-2.121383333333333,-14.977121666666667,-28.770932,-22.57832,-0.8231956666666665,93.70970666666666,1995-10-01,7.080000000000001
FR,18491.7,2.600622613,424211.4,0.692733638,34.756558,22.320184,82.621767,82.409807,86.13333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-22.17728,-36.523303999999996,-33.446172,-3.6034236666666666,-17.707336333333334,-31.891195999999997,-29.499652666666666,-1.3373443333333335,90.889652,1996-01-01,6.573333333333332
FR,18284.0,-1.129562229,425029.4,0.192642712,40.286846,30.229764,82.703714,83.93744,87.13333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-14.840195,-25.605938999999996,-27.898401333333336,8.606213333333335,-16.077383666666666,-27.750715333333332,-29.871825333333334,4.389207,90.35003966666666,1996-04-01,6.513333333333333
FR,18525.1,1.310020881,426670.1,0.385277209,29.126974,28.347388,82.481174,81.235436,86.73333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,-8.650998333333334,-16.075696,-14.069648,10.907766666666667,-15.189087,-27.03449,-22.969571000000002,1.6350793333333333,89.18757466666666,1996-07-01,6.396666666666667
FR,18476.3,-0.263773956,428311.3,0.383915256,28.152239,27.249372,79.8949,78.7696,86.93333333333334,,0.0,0.0,0.0,0.0,0.0,0.0,-10.230638,-21.002545666666666,-13.065190333333334,2.8724109999999996,-12.073330333333333,-23.534389666666666,-14.937470666666664,4.393714,89.52062699999999,1996-10-01,5.853333333333334
FR,18217.1,-1.412811631,430139.7,0.4259772,37.680737,27.59257,82.244067,82.281729,87.86666666666667,,0.0,0.0,0.0,0.0,0.0,0.0,-8.508027333333333,-22.469070333333335,-16.89647533333333,8.764426333333335,-9.261515666666668,-19.917320333333333,-11.207759666666666,7.56419,96.74295533333333,1997-01-01,5.603333333333334
FR,18701.3,2.623232675,434654.5,1.044142298,34.935136,23.547969,82.178819,82.733073,91.7,,0.0,0.0,0.0,0.0,0.0,0.0,-11.572709333333334,-25.073798999999998,3.1312443333333335,10.602519000000001,-7.083653333333333,-16.192944666666666,-3.082622333333333,10.249288,96.83096833333333,1997-04-01,5.723333333333335
