Horizon,N,MAE,RMSE,MAPE,Mean Error,Model
1Q ahead,18,1249.7229947916667,1472.3866494266613,2.1385583697725496,563.3262934027779,Chronos-2
2Q ahead,17,1989.8988694852947,2245.3569524802906,3.4097871820738983,1156.310229779412,Chronos-2
3Q ahead,16,2910.1533593750005,3279.652260594128,5.0030055340439565,1833.2273437500003,Chronos-2
4Q ahead,15,3476.8537395833337,4101.8165736216015,5.997509015917196,2413.6127187500006,Chronos-2
1Q ahead,18,986.5635937499994,1177.2216156113184,1.6803893645596844,-132.05977430555544,Moirai-2
2Q ahead,17,1360.0997150735295,1567.4117437151426,2.30428879839776,-163.4429871323527,Moirai-2
3Q ahead,16,1442.506201171875,1947.11927855908,2.441311483661425,-118.86909179687473,Moirai-2
4Q ahead,15,1866.1281041666666,2319.540283111606,3.1577234675946597,-98.94639583333289,Moirai-2
